municipality,urban_file,year_1990,year_2000,year_2010,year_2015,year_2020,year_2024
Dona Remedios Trinidad,Urban_1,8614,13636,19878,22663,28656,30064
Norzagaray,Urban_2,33485,76978,103095,111348,136064,140697
Angat,Urban_3,34494,46033,55332,59237,65617,67862
Bulacan,Urban_3,48770,62903,71751,76565,81232,83101
Bustos,Urban_3,34965,47091,62415,67039,77199,80565
Plaridel,Urban_3,52954,80481,101441,107805,114432,120939
San Rafael,Urban_3,49528,69770,85921,94655,103097,108256
City of Malolos,Urban_3,125178,175291,234945,252074,261189,269809
Hagonoy,Urban_3,90212,111425,125689,129807,133448,136673
Baliwag,Urban_3,89719,119675,143565,149954,168470,174194
Calumpit,Urban_3,59042,81113,101068,108757,118471,122187
Guiguinto,Urban_3,44532,67571,90507,99730,113415,118173
Pandi,Urban_3,32648,48088,66650,89075,155115,162725
Balagtas,Urban_4,42658,56945,65440,73929,77018,80221
Bocaue,Urban_4,67243,86994,106407,119675,141412,147755
Marilao,Urban_4,56361,101017,185624,221965,254453,263507
Meycauayan City,Urban_4,123982,163037,199154,209083,225673,228023
Obando,Urban_4,46346,52906,58009,59197,59978,61073
San Jose del Monte City,Urban_4,142047,315807,454553,574089,651813,685688
Santa Maria,Urban_4,91468,144282,218351,256454,289820,322525
San Ildefonso,Urban_5,59598,79956,95000,104471,115713,123140
San Miguel,Urban_5,91124,123824,142854,153882,172073,179792
