;	DRT									
;										
;Year	Rice	Ampalaya	Eggplant	Hotpepper	Okra	Patola	Tomato	Sitao	Upo	Watermelon
2000	24452.709									
2001	24712.1169									
2002	25069.3892									
2003	24459.7472									
2004	24018.6869									
2005	23830.3313									
2006	24290.4953									
2007	24695.6944									
2008	27185.8757									
2009	26787.0445									
2010	26530.9882	93.1723	50.2728	21.4497	31.8395	8.3788	54.6298	225.2223	28.4879	36.8667
2011	20182.5341	94.8481	51.2783	22.12	33.1801	8.3788	56.9759	227.9035	29.4934	23.4607
2012	26719.3438	96.859	51.2783	22.7233	32.6773	8.3788	58.9868	225.8926	29.9961	22.7904
2013	27505.9461	93.5075	49.6025	18.9361	32.8449	8.2112	57.6462	216.8435	29.1582	47.9268
2014	27468.7442	95.8535	51.9486	21.2822	33.5152	9.3843	59.9923	223.8817	30.4989	24.131
2015	26576.5689	100.5457	66.3601	23.4607	46.251	10.3897	61.3329	233.9363	58.3165	33.5152
