;,,,
;,San_Miguel,,Source:https://apps.dpwh.gov.ph/streams_public/station_summary_public.aspx?id=350
;Year,Month,Q_m3/s,
2013,1,1.355,
2013,2,1.311,
2013,3,1.265,
2013,4,1.072,
2013,5,1.171,
2013,6,2.332,
2013,7,2.714,
2013,8,3.98,
2013,9,2.644,
2013,10,3.146,
2013,11,3.569,
2013,12,1.712,
2014,1,1.429,
2014,2,1.12,
2014,3,0.999,
2014,4,0.967,
2014,5,1.043,
2014,6,2.024,
2014,7,2.501,
2014,8,2.634,
2014,9,2.723,
2014,10,1.227,
2014,11,1.039,
2014,12,1.274,
2015,1,1.041,
2015,2,0.962,
2015,3,0.896,
2015,4,0.856,
2015,5,1.16,
2015,6,1.482,
2015,7,3.398,
2015,8,3.921,
2015,9,2.061,
2015,10,4.946,
2015,11,1.466,
2015,12,2.849,
2016,1,1.499,
2016,2,1.206,
2016,3,1.1,
2016,4,0.993,
2016,5,1.069,
2016,6,1.255,
2016,7,1.913,
2016,8,3.834,
2016,9,1.639,
2016,10,2.642,
2016,11,1.335,
2016,12,1.211,
2017,1,1.021,
2017,2,0.803,
2017,3,0.728,
2017,4,0.668,
2017,5,0.994,
2017,6,1.244,
2017,7,1.572,
2017,8,1.601,
2017,9,1.659,
2017,10,1.299,
2017,11,2.577,
2017,12,1.493,
2018,1,0.791,
2018,2,0.659,
2018,3,0.525,
2018,4,0.569,
2018,5,0.556,
2018,6,1.155,
2018,7,2.191,
2018,8,2.888,
2018,9,2.98,
2018,10,1.207,
2018,11,1.038,
2018,12,0.972,
2019,1,1.029,
2019,2,0.776,
2019,3,0.639,
2019,4,1.136,
2019,5,0.908,
2019,6,0.836,
2019,7,1.518,
2019,8,2.233,
2019,9,2.118,
2019,10,1.128,
2019,11,1.12,
2019,12,1.412,
2020,1,0.934,
2020,2,0.769,
2020,3,0.675,
2020,4,0.615,
2020,5,0.864,
2020,6,0.838,
2020,7,0.87,
2020,8,1.16,
2020,9,1.17,
2020,10,3.238,
2020,11,2.532,
2020,12,1.560428571,
