;,,Sta Maria River: estimated data
;,,Units:cms
;Year,Month,Flow
2000,1,0.9
2000,2,0.6
2000,3,0.8
2000,4,2.1
2000,5,5.3
2000,6,8.4
2000,7,12.1
2000,8,11.4
2000,9,9.7
2000,10,5.1
2000,11,2.1
2000,12,2.1
2001,1,0.9
2001,2,0.6
2001,3,0.8
2001,4,2.1
2001,5,5.3
2001,6,8.4
2001,7,12.1
2001,8,11.4
2001,9,9.7
2001,10,5.1
2001,11,2.1
2001,12,2.1
2002,1,0.9
2002,2,0.6
2002,3,0.8
2002,4,2.1
2002,5,5.3
2002,6,8.4
2002,7,12.1
2002,8,11.4
2002,9,9.7
2002,10,5.1
2002,11,2.1
2002,12,2.1
2003,1,0.9
2003,2,0.6
2003,3,0.8
2003,4,2.1
2003,5,5.3
2003,6,8.4
2003,7,12.1
2003,8,11.4
2003,9,9.7
2003,10,5.1
2003,11,2.1
2003,12,2.1
2004,1,0.9
2004,2,0.6
2004,3,0.8
2004,4,2.1
2004,5,5.3
2004,6,8.4
2004,7,12.1
2004,8,11.4
2004,9,9.7
2004,10,5.1
2004,11,2.1
2004,12,2.1
2005,1,0.9
2005,2,0.6
2005,3,0.8
2005,4,2.1
2005,5,5.3
2005,6,8.4
2005,7,12.1
2005,8,11.4
2005,9,9.7
2005,10,5.1
2005,11,2.1
2005,12,2.1
2006,1,0.9
2006,2,0.6
2006,3,0.8
2006,4,2.1
2006,5,5.3
2006,6,8.4
2006,7,12.1
2006,8,11.4
2006,9,9.7
2006,10,5.1
2006,11,2.1
2006,12,2.1
2007,1,0.9
2007,2,0.6
2007,3,0.8
2007,4,2.1
2007,5,5.3
2007,6,8.4
2007,7,12.1
2007,8,11.4
2007,9,9.7
2007,10,5.1
2007,11,2.1
2007,12,2.1
2008,1,0.9
2008,2,0.6
2008,3,0.8
2008,4,2.1
2008,5,5.3
2008,6,8.4
2008,7,12.1
2008,8,11.4
2008,9,9.7
2008,10,5.1
2008,11,2.1
2008,12,2.1
2009,1,0.9
2009,2,0.6
2009,3,0.8
2009,4,2.1
2009,5,5.3
2009,6,8.4
2009,7,12.1
2009,8,11.4
2009,9,9.7
2009,10,5.1
2009,11,2.1
2009,12,2.1
2010,1,0.9
2010,2,0.6
2010,3,0.8
2010,4,2.1
2010,5,5.3
2010,6,8.4
2010,7,12.1
2010,8,11.4
2010,9,9.7
2010,10,5.1
2010,11,2.1
2010,12,2.1
2011,1,0.9
2011,2,0.6
2011,3,0.8
2011,4,2.1
2011,5,5.3
2011,6,8.4
2011,7,12.1
2011,8,11.4
2011,9,9.7
2011,10,5.1
2011,11,2.1
2011,12,2.1
2012,1,0.9
2012,2,0.6
2012,3,0.8
2012,4,2.1
2012,5,5.3
2012,6,8.4
2012,7,12.1
2012,8,11.4
2012,9,9.7
2012,10,5.1
2012,11,2.1
2012,12,2.1
2013,1,0.9
2013,2,0.6
2013,3,0.8
2013,4,2.1
2013,5,5.3
2013,6,8.4
2013,7,12.1
2013,8,11.4
2013,9,9.7
2013,10,5.1
2013,11,2.1
2013,12,2.1
2014,1,0.9
2014,2,0.6
2014,3,0.8
2014,4,2.1
2014,5,5.3
2014,6,8.4
2014,7,12.1
2014,8,11.4
2014,9,9.7
2014,10,5.1
2014,11,2.1
2014,12,2.1
2015,1,0.9
2015,2,0.6
2015,3,0.8
2015,4,2.1
2015,5,5.3
2015,6,8.4
2015,7,12.1
2015,8,11.4
2015,9,9.7
2015,10,5.1
2015,11,2.1
2015,12,2.1
2016,1,0.9
2016,2,0.6
2016,3,0.8
2016,4,2.1
2016,5,5.3
2016,6,8.4
2016,7,12.1
2016,8,11.4
2016,9,9.7
2016,10,5.1
2016,11,2.1
2016,12,2.1
2017,1,0.9
2017,2,0.6
2017,3,0.8
2017,4,2.1
2017,5,5.3
2017,6,8.4
2017,7,12.1
2017,8,11.4
2017,9,9.7
2017,10,5.1
2017,11,2.1
2017,12,2.1
2018,1,0.9
2018,2,0.6
2018,3,0.8
2018,4,2.1
2018,5,5.3
2018,6,8.4
2018,7,12.1
2018,8,11.4
2018,9,9.7
2018,10,5.1
2018,11,2.1
2018,12,2.1
2019,1,0.9
2019,2,0.6
2019,3,0.8
2019,4,2.1
2019,5,5.3
2019,6,8.4
2019,7,12.1
2019,8,11.4
2019,9,9.7
2019,10,5.1
2019,11,2.1
2019,12,2.1
2020,1,0.9
2020,2,0.6
2020,3,0.8
2020,4,2.1
2020,5,5.3
2020,6,8.4
2020,7,12.1
2020,8,11.4
2020,9,9.7
2020,10,5.1
2020,11,2.1
2020,12,2.1
2021,1,0.9
2021,2,0.6
2021,3,0.8
2021,4,2.1
2021,5,5.3
2021,6,8.4
2021,7,12.1
2021,8,11.4
2021,9,9.7
2021,10,5.1
2021,11,2.1
2021,12,2.1
2022,1,0.9
2022,2,0.6
2022,3,0.8
2022,4,2.1
2022,5,5.3
2022,6,8.4
2022,7,12.1
2022,8,11.4
2022,9,9.7
2022,10,5.1
2022,11,2.1
2022,12,2.1
2023,1,0.9
2023,2,0.6
2023,3,0.8
2023,4,2.1
2023,5,5.3
2023,6,8.4
2023,7,12.1
2023,8,11.4
2023,9,9.7
2023,10,5.1
2023,11,2.1
2023,12,2.1
2024,1,0.9
2024,2,0.6
2024,3,0.8
2024,4,2.1
2024,5,5.3
2024,6,8.4
2024,7,12.1
2024,8,11.4
2024,9,9.7
2024,10,5.1
2024,11,2.1
2024,12,2.1
